geoid,county,type,source,as_of,filing_announced
45001950500,Abbeville,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45003020100,Aiken,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45003020402,Aiken,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45003021001,Aiken,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45003021101,Aiken,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45005970500,Allendale,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45007000701,Anderson,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45007000800,Anderson,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45007012300,Anderson,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45009960201,Bamberg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45009960202,Bamberg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45011970300,Barnwell,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45011970500,Barnwell,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45013000100,Beaufort,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45013000200,Beaufort,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45015020201,Berkeley,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45015020506,Berkeley,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45015020712,Berkeley,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45019000700,Charleston,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45019003105,Charleston,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
