market,state,county,geoid,place_or_corridor,rural,status,lat,lon,notes
Atlanta,Georgia,Banks,13011970100,Banks County rural-eligible tract,Y,Eligible — not designated,34.4385065,-83.5096182,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Atlanta,Georgia,Barrow,13013180203,Barrow County rural-eligible tract,Y,Eligible — not designated,33.984387,-83.6972806,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Barrow,13013180206,Barrow County rural-eligible tract,Y,Eligible — not designated,34.020047,-83.7160751,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Barrow,13013180503,Barrow County rural-eligible tract,Y,Eligible — not designated,33.9261204,-83.7488667,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Bartow,13015960403,Bartow County rural-eligible tract,Y,Eligible — not designated,34.2116672,-84.7995675,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Bartow,13015960404,Bartow County rural-eligible tract,Y,Eligible — not designated,34.2243348,-84.8411065,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Bartow,13015960501,Bartow County rural-eligible tract,Y,Eligible — not designated,34.1973683,-84.8188035,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Bartow,13015960602,Bartow County rural-eligible tract,Y,Eligible — not designated,34.1686137,-84.8150195,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Butts,13035150201,Butts County rural-eligible tract,Y,Eligible — not designated,33.2732248,-83.9633779,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Butts,13035150202,Butts County rural-eligible tract,Y,Eligible — not designated,33.309949,-83.9523235,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910101,Carroll County rural-eligible tract,Y,Eligible — not designated,33.7277543,-84.9202332,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910106,Carroll County rural-eligible tract,Y,Eligible — not designated,33.7478401,-84.9614333,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910502,Carroll County rural-eligible tract,Y,Eligible — not designated,33.5854378,-85.0894038,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910503,Carroll County rural-eligible tract,Y,Eligible — not designated,33.5993771,-85.1158391,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910504,Carroll County rural-eligible tract,Y,Eligible — not designated,33.5725335,-85.1249487,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910600,Carroll County rural-eligible tract,Y,Eligible — not designated,33.6281783,-85.0670962,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910705,Carroll County rural-eligible tract,Y,Eligible — not designated,33.5958641,-85.0133296,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910708,Carroll County rural-eligible tract,Y,Eligible — not designated,33.6002134,-85.0464719,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910709,Carroll County rural-eligible tract,Y,Eligible — not designated,33.632388,-85.016332,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045910800,Carroll County rural-eligible tract,Y,Eligible — not designated,33.5198017,-84.918098,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Carroll,13045911201,Carroll County rural-eligible tract,Y,Eligible — not designated,33.5304672,-85.2084496,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Fayette,13113140103,Fayette County rural-eligible tract,Y,Eligible — not designated,33.5161745,-84.5281585,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Gordon,13129970102,Gordon County rural-eligible tract,Y,Eligible — not designated,34.5514829,-84.7329374,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Atlanta,Georgia,Gordon,13129970201,Gordon County rural-eligible tract,Y,Eligible — not designated,34.6085368,-84.9326798,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Atlanta,Georgia,Gordon,13129970301,Gordon County rural-eligible tract,Y,Eligible — not designated,34.5178665,-85.0013283,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Atlanta,Georgia,Gordon,13129970500,Gordon County rural-eligible tract,Y,Eligible — not designated,34.4906126,-84.9329182,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Atlanta,Georgia,Gordon,13129970700,Gordon County rural-eligible tract,Y,Eligible — not designated,34.4143946,-85.0000522,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Atlanta,Georgia,Hall,13139000304,Hall County rural-eligible tract,Y,Eligible — not designated,34.3857263,-83.9609193,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139000401,Hall County rural-eligible tract,Y,Eligible — not designated,34.3441593,-83.8609284,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139000703,Hall County rural-eligible tract,Y,Eligible — not designated,34.2986721,-83.7807206,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139000800,Hall County rural-eligible tract,Y,Eligible — not designated,34.2987837,-83.8079663,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139001007,Hall County rural-eligible tract,Y,Eligible — not designated,34.2796682,-83.8594856,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139001008,Hall County rural-eligible tract,Y,Eligible — not designated,34.2915162,-83.8477507,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139001101,Hall County rural-eligible tract,Y,Eligible — not designated,34.2842334,-83.8350468,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139001202,Hall County rural-eligible tract,Y,Eligible — not designated,34.2250365,-83.7513837,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139001203,Hall County rural-eligible tract,Y,Eligible — not designated,34.2834905,-83.8181809,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Hall,13139001204,Hall County rural-eligible tract,Y,Eligible — not designated,34.2281553,-83.7972368,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Haralson,13143010100,Haralson County rural-eligible tract,Y,Eligible — not designated,33.8634666,-85.1299793,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Atlanta,Georgia,Heard,13149970100,Heard County rural-eligible tract,Y,Eligible — not designated,33.2638065,-85.015873,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
