market,state,county,geoid,place_or_corridor,rural,status,lat,lon,notes
Atlanta,Georgia,Bartow,13015960801,Bartow County urban-eligible tract,N,Eligible — not designated,34.1222127,-84.674982,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Bartow,13015960802,Bartow County urban-eligible tract,N,Eligible — not designated,34.1106699,-84.6975654,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cherokee,13057090401,Cherokee County urban-eligible tract,N,Eligible — not designated,34.2455093,-84.4912096,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cherokee,13057090605,Cherokee County urban-eligible tract,N,Eligible — not designated,34.222258,-84.5071804,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cherokee,13057090703,Cherokee County urban-eligible tract,N,Eligible — not designated,34.1776988,-84.4964955,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040202,Clayton County urban-eligible tract,N,Eligible — not designated,33.6143004,-84.415514,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040203,Clayton County urban-eligible tract,N,Eligible — not designated,33.6075112,-84.4529581,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040302,Clayton County urban-eligible tract,N,Eligible — not designated,33.6332886,-84.3719886,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040306,Clayton County urban-eligible tract,N,Eligible — not designated,33.6042653,-84.3869022,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040307,Clayton County urban-eligible tract,N,Eligible — not designated,33.598833,-84.3624905,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040308,Clayton County urban-eligible tract,N,Eligible — not designated,33.6372452,-84.3896406,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040309,Clayton County urban-eligible tract,N,Eligible — not designated,33.643652,-84.3489428,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040310,Clayton County urban-eligible tract,N,Eligible — not designated,33.6265087,-84.351037,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040407,Clayton County urban-eligible tract,N,Eligible — not designated,33.6071615,-84.3298311,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040409,Clayton County urban-eligible tract,N,Eligible — not designated,33.5926501,-84.3069096,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040410,Clayton County urban-eligible tract,N,Eligible — not designated,33.6278956,-84.3099165,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040414,Clayton County urban-eligible tract,N,Eligible — not designated,33.5862404,-84.3745625,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040416,Clayton County urban-eligible tract,N,Eligible — not designated,33.5795938,-84.3547007,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040417,Clayton County urban-eligible tract,N,Eligible — not designated,33.5614007,-84.3536804,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040418,Clayton County urban-eligible tract,N,Eligible — not designated,33.5949741,-84.345836,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040419,Clayton County urban-eligible tract,N,Eligible — not designated,33.5891764,-84.327151,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040422,Clayton County urban-eligible tract,N,Eligible — not designated,33.5839369,-84.3826124,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040423,Clayton County urban-eligible tract,N,Eligible — not designated,33.564688,-84.3766421,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040424,Clayton County urban-eligible tract,N,Eligible — not designated,33.5606181,-84.3335327,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040425,Clayton County urban-eligible tract,N,Eligible — not designated,33.5737098,-84.313561,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040426,Clayton County urban-eligible tract,N,Eligible — not designated,33.5746685,-84.300982,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040509,Clayton County urban-eligible tract,N,Eligible — not designated,33.5825232,-84.4470958,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040513,Clayton County urban-eligible tract,N,Eligible — not designated,33.5584721,-84.4387615,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040518,Clayton County urban-eligible tract,N,Eligible — not designated,33.5103898,-84.3912997,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040519,Clayton County urban-eligible tract,N,Eligible — not designated,33.591583,-84.4176676,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040521,Clayton County urban-eligible tract,N,Eligible — not designated,33.5697564,-84.3905399,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040522,Clayton County urban-eligible tract,N,Eligible — not designated,33.5869518,-84.4020462,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040523,Clayton County urban-eligible tract,N,Eligible — not designated,33.5599525,-84.4092722,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040527,Clayton County urban-eligible tract,N,Eligible — not designated,33.5402063,-84.4309787,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040528,Clayton County urban-eligible tract,N,Eligible — not designated,33.5315195,-84.4259784,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040529,Clayton County urban-eligible tract,N,Eligible — not designated,33.5317175,-84.4026047,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040531,Clayton County urban-eligible tract,N,Eligible — not designated,33.6011275,-84.4247891,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040532,Clayton County urban-eligible tract,N,Eligible — not designated,33.5980823,-84.4143113,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040533,Clayton County urban-eligible tract,N,Eligible — not designated,33.5434188,-84.389761,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040536,Clayton County urban-eligible tract,N,Eligible — not designated,33.5277885,-84.381794,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040537,Clayton County urban-eligible tract,N,Eligible — not designated,33.504027,-84.4109848,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040538,Clayton County urban-eligible tract,N,Eligible — not designated,33.5149735,-84.4136715,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040606,Clayton County urban-eligible tract,N,Eligible — not designated,33.4677661,-84.3120126,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040617,Clayton County urban-eligible tract,N,Eligible — not designated,33.5584265,-84.2673233,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Clayton,13063040623,Clayton County urban-eligible tract,N,Eligible — not designated,33.4715329,-84.3552366,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
