market,state,county,geoid,place_or_corridor,rural,status,lat,lon,notes
Vero Beach,Florida,Brevard,12009060104,Brevard County rural-eligible tract,Y,Eligible — not designated,28.7595275,-80.88106,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009060105,Brevard County rural-eligible tract,Y,Eligible — not designated,28.6913195,-80.8439989,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009060400,Brevard County rural-eligible tract,Y,Eligible — not designated,28.6259987,-80.8217906,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009060600,Brevard County rural-eligible tract,Y,Eligible — not designated,28.5958293,-80.8358974,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009060700,Brevard County rural-eligible tract,Y,Eligible — not designated,28.6074077,-80.8143413,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009062114,Brevard County urban-eligible tract,N,Eligible — not designated,28.4435977,-80.7613996,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); county on outer/uncertain edge of ~90-min shed"
Vero Beach,Florida,Brevard,12009062302,Brevard County urban-eligible tract,N,Eligible — not designated,28.3833966,-80.7492823,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); county on outer/uncertain edge of ~90-min shed"
Vero Beach,Florida,Brevard,12009062401,Brevard County urban-eligible tract,N,Eligible — not designated,28.3827445,-80.7790023,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); county on outer/uncertain edge of ~90-min shed"
Vero Beach,Florida,Brevard,12009062402,Brevard County urban-eligible tract,N,Eligible — not designated,28.3685732,-80.7686433,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); county on outer/uncertain edge of ~90-min shed"
Vero Beach,Florida,Brevard,12009062500,Brevard County urban-eligible tract,N,Eligible — not designated,28.3518753,-80.8101474,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); county on outer/uncertain edge of ~90-min shed"
Vero Beach,Florida,Brevard,12009062600,Brevard County urban-eligible tract,N,Eligible — not designated,28.3545721,-80.7441807,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); county on outer/uncertain edge of ~90-min shed"
