market,state,county,geoid,place_or_corridor,rural,status,lat,lon,notes
Vero Beach,Florida,Brevard,12009060104,Brevard County rural-eligible tract,Y,Eligible — not designated,28.7595275,-80.88106,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009060105,Brevard County rural-eligible tract,Y,Eligible — not designated,28.6913195,-80.8439989,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009060400,Brevard County rural-eligible tract,Y,Eligible — not designated,28.6259987,-80.8217906,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009060600,Brevard County rural-eligible tract,Y,Eligible — not designated,28.5958293,-80.8358974,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009060700,Brevard County rural-eligible tract,Y,Eligible — not designated,28.6074077,-80.8143413,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009065239,Brevard County rural-eligible tract,Y,Eligible — not designated,27.8650822,-80.4994904,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009065240,Brevard County rural-eligible tract,Y,Eligible — not designated,27.886466,-80.505304,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009071204,Brevard County rural-eligible tract,Y,Eligible — not designated,28.3926801,-80.849217,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Brevard,12009071402,Brevard County rural-eligible tract,Y,Eligible — not designated,28.568257,-80.7978826,Rev. Proc. 2026-14 appendix Rural (entirely rural); county on outer/uncertain edge of ~90-min shed
Vero Beach,Florida,Indian River,12061050101,Indian River County rural-eligible tract,Y,Eligible — not designated,27.6346881,-80.4129318,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Vero Beach,Florida,Indian River,12061050102,Indian River County rural-eligible tract,Y,Eligible — not designated,27.6273223,-80.4113634,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Vero Beach,Florida,Indian River,12061050303,Indian River County rural-eligible tract,Y,Eligible — not designated,27.6753714,-80.4182304,Rev. Proc. 2026-14 appendix Rural (entirely rural)
Vero Beach,Florida,Indian River,12061050304,Indian River County rural-eligible tract,Y,Eligible — not designated,27.6746529,-80.4362112,Rev. Proc. 2026-14 appendix Rural (entirely rural)
