market,county,geoid,place,rural,status,tier,mf_rationale,acreage_realism,lat,lon,notes
Charleston,Berkeley,45015020712,Moncks Corner south–Goose Creek north (US-52 / I-26),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Primary Berkeley growth corridor; garden/wrap MF demand from Charleston/N Charleston jobs; corridor infra story,High,33.097631,-80.097346,nom_watch=High; ALAND~2966ac; sewer/zoning unknown; strongest Charleston-side rural MF thesis
Charleston,Berkeley,45015020506,Moncks Corner east (US-52 / Hwy 17A),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Moncks Corner small-city growth; retail/employment node; MF land on fringe of town utilities,High,33.1834737,-79.998713,nom_watch=High; ALAND~4781ac; pair with 20504/20712 for Berkeley cluster
Charleston,Berkeley,45015020504,Bonneau fringe / central Berkeley,Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Exurban Berkeley between Moncks Corner and Bonneau; large pads plausible near US-52,High,33.206078,-80.0069274,nom_watch=High; ALAND~5001ac; watch wetlands near lakes/rivers
Charleston,Dorchester,45035010301,Ridgeville (I-26 / US-78),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Inland I-26 Charleston–Summerville commute; industrial/logistics adjacency; classic 5–40ac garden site geography,High,33.1251672,-80.4622962,nom_watch=High; ALAND~45597ac; Jedburg/Summerville fringe sewer story needs verification
Charleston,Charleston,45019002503,Ravenel–Hollywood (US-17),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Only Charleston County rural pair on West Ashley / Johns Island rural fringe; US-17 corridor MF/workforce housing logic,High,32.6960652,-80.2361945,nom_watch=Med; ALAND~12772ac; flood/wetland screening critical; not barrier island
Charlotte,York,45091061602,Clover–Lake Wylie fringe (York SC),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Charlotte SW bedroom; Clover small-city growth; garden MF for Charlotte commute via SC-274/I-77,High,34.9928475,-81.2235178,nom_watch=High; ALAND~3852ac; York has only 2 rural-eligible statewide — high scarcity
Charlotte,York,45091061601,Clover west / York SC,Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Companion Clover west tract; Charlotte labor shed; land assemblies realistic outside Lake Wylie core,High,34.991548,-81.262954,nom_watch=High; ALAND~3493ac; pair with 61602
Charlotte,Lancaster,45057011001,Lancaster SC / Indian Land south–Heath Springs (US-521),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,US-521 growth corridor south of Indian Land; Charlotte fringe MF; large rural ALAND,High,34.7034846,-80.674923,nom_watch=High; ALAND~17036ac; Indian Land itself mostly non-rural — this is the rural southern extension
Charleston,Berkeley,45015020303,Huger–Wando / Cainhoy fringe,Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Cainhoy master-plan adjacency; East Berkeley growth watch; garden MF if sewer extends,High,33.3560254,-79.9640539,nom_watch=Med; ALAND~8159ac; master-plan timing/utility risk
Charleston,Dorchester,45035010302,N-central Dorchester (I-26 inland),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,A,Large inland Dorchester pads off I-26; Summerville–Ridgeville ring; logistics+MF co-location thesis,High,33.2378485,-80.4533106,nom_watch=Med; ALAND~56734ac; farther from peninsula jobs than 10301
